Local Story ID,Jira Key,Summary,Status
"CHG-001","FREIG-1","CHG-001: Missing `/shipper/quote` Route","To Do"
"CHG-003","FREIG-2","CHG-003: Action Zone Structural Layout (Missing Carrier Search Panel)","To Do"
"INF-001","FREIG-3","INF-001: Wrap 20 Flyway Migrations in DO/IF Idempotency Blocks","Done"
"SEC-001","FREIG-4","SEC-001: Add @PreAuthorize Annotations to DELETE/PUT Endpoints","Done"
"SEC-002","FREIG-5","SEC-002: Create PostgreSQL RLS Policies for 5 Tables","Done"
"US-101","FREIG-6","US-101: Multi-Tenant Registration","Done"
"US-102","FREIG-7","US-102: Tenant Context & JWT","Done"
"US-103","FREIG-11","US-103: Load CRUD (Create, Edit, Cancel, Publish)","Done"
"US-103-v2","FREIG-8","US-103-v2: Load Creation Redesign (Full Workflow + Dashboard Integration)","To Do"
"US-103-v3","FREIG-9","US-103-v3: Load Duplication Feature","To Do"
"US-103-v4","FREIG-10","US-103-v4: Load Templates Feature","To Do"
"US-104","FREIG-12","US-104: Load Board & Claiming Workflow","Done"
"US-105","FREIG-13","US-105: Load Status Transitions (Pick Up & Delivery)","Done"
"US-201","FREIG-14","US-201: Email Notifications (Claim/Pickup/Delivery/Cancel)","Done"
"US-202","FREIG-15","US-202: In-App Notification Bell & Read Status","Done"
"US-203","FREIG-16","US-203: EIA Diesel Pricing API (6-hr Cache Template)","Done"
"US-301","FREIG-17","US-301: S3 File Storage & Signed Upload URLs","Done"
"US-302","FREIG-18","US-302: Platform-Generated BOL","Done"
"US-303","FREIG-19","US-303: BOL/POD Photo Upload & Viewing","Done"
"US-305","FREIG-20","US-305: POD Upload UI Completion","Done"
"US-502","FREIG-26","US-502: Payment Account Setup","To Do"
"US-506","FREIG-27","US-506: SETTLED Load Status & Workflow","Done"
"US-701","FREIG-28","US-701: Carrier Profiles (Trucker Equipment & Lane Preferences)","Done"
"US-702","FREIG-30","US-702: Preferred Lanes (Owner/Operator)","Done"
"US-703","FREIG-31","US-703: Shipper Preferred Carrier Management","Done"
"US-704","FREIG-32","US-704: Load Board Analytics & Insights","To Do"
"US-705","FREIG-33","US-705: Carrier Performance Dashboard","In Progress"
"US-706","FREIG-34","US-706: Revenue & Profitability Reports","In Progress"
"US-709","FREIG-38","US-709: Block/Restrict Carrier","To Do"
"US-710","FREIG-39","US-710: View Carrier Public Profile","Done"
"US-711","FREIG-40","US-711: Load Interest & View Tracking","To Do"
"US-712","FREIG-41","US-712: View Shipper Public Profile (Payment Speed, Rating)","To Do"
"US-713","FREIG-42","US-713: Shipper Company Profile Setup (Post-Registration)","Done"
"US-714","FREIG-43","US-714: Trucker Onboarding Checklist (Pre-Load-Claim Gate)","To Do"
"US-715","FREIG-44","US-715: Shipper Dashboard","Done"
"US-730","FREIG-62","US-730: Carrier Dashboard MVP — Operations Platform (Phase 7)","To Do"
"US-730-0","FREIG-63","US-730-0: Dashboard Structure & Mobile Design Spec","To Do"
"US-730a","FREIG-64","US-730a: Cost Profile Setup API & UI","To Do"
"US-730b","FREIG-65","US-730b: Profitable Load Visibility & Filtering","To Do"
"US-730c","FREIG-66","US-730c: Performance Visibility Dashboard Metrics","To Do"
"US-730d","FREIG-67","US-730d: Unified Carrier Dashboard","To Do"
"US-730e","FREIG-68","US-730e: Equipment & Lane Management","To Do"
"US-730f","FREIG-69","US-730f: Payment Acknowledgment (MVP)","To Do"
"US-751","FREIG-47","US-751: Code-Split Auth Module from Dashboard Bundle","To Do"
"US-752","FREIG-48","US-752: Lazy-Load Font Subsets After Authentication","To Do"
"US-753","FREIG-49","US-753: Replace Zod Validation with Lightweight Regex for Login","To Do"
"US-754","FREIG-50","US-754: Optimize Cloud CDN Configuration for Asset Delivery","To Do"
"US-755","FREIG-51","US-755: Replace React Query for Static Dashboard Queries","To Do"
"US-756","FREIG-52","US-756: Optimize Login Page Hydration to <100ms","To Do"
"US-757","FREIG-53","US-757: Trucker Cost Per Mile Calculator - Granular Cost Tracking","To Do"
"US-820","FREIG-54","US-820: KPI Summary Display","Done"
"US-821","FREIG-55","US-821: Shipper Header Navigation","Done"
"US-822","FREIG-56","US-822: Shipment Status Panel","Done"
"US-823","FREIG-57","US-823: Shipper Dashboard Layout Skeleton","Done"
"US-824","FREIG-58","US-824: Quick Actions Panel","Done"
"US-825","FREIG-59","US-825: Carrier Search Panel","Done"
"US-826","FREIG-60","US-826: Messages & Alerts Panel","To Do"
"US-900","FREIG-61","US-900: E2E Testing Infrastructure & Standards","Done"
"US-840","FREIG-95","US-840: Design Token Import (CSS variables, Tailwind extension)","Done"
"US-841","FREIG-96","US-841: UI Primitive Styling (Button, Input, StatusBadge)","Done"
"US-842","FREIG-97","US-842: Layout Shell Reskin (AppShell header, legacy-dark removal)","Done"
"US-843","FREIG-98","US-843: Shipper Dashboard Reskin (KPI cards, load table)","Done"
"US-844","FREIG-99","US-844: Carrier Load Board UX (equipment filter, board lock, post-action nav)","Done"
"US-845","FREIG-100","US-845: Load Creation Form Fields","Done"
"US-846","FREIG-101","US-846: Shipper Action Zone Restructure","Done"
"US-847","FREIG-102","US-847: Persona Token Migration","To Do"
"US-854","FREIG-116","US-854: Per-Load Diesel Fuel Cost Resolution","Done"
